,date,store,item,forecast
0,1/1/2018,1,1,12.14102783
1,1/2/2018,1,1,14.82120907
2,1/3/2018,1,1,16.00489856
3,1/4/2018,1,1,17.22832257
4,1/5/2018,1,1,18.24798488
5,1/6/2018,1,1,21.34632363
6,1/7/2018,1,1,21.66648967
7,1/8/2018,1,1,12.77397059
8,1/9/2018,1,1,15.49144521
9,1/10/2018,1,1,16.07515569
10,1/11/2018,1,1,17.2985797
11,1/12/2018,1,1,18.31824201
12,1/13/2018,1,1,21.41658076
13,1/14/2018,1,1,21.7367468
14,1/15/2018,1,1,12.84422772
15,1/16/2018,1,1,14.03465386
16,1/17/2018,1,1,16.14541282
17,1/18/2018,1,1,17.36883684
18,1/19/2018,1,1,18.38849914
19,1/20/2018,1,1,21.48683789
20,1/21/2018,1,1,21.80700393
21,1/22/2018,1,1,12.91448485
22,1/23/2018,1,1,15.63195947
23,1/24/2018,1,1,16.21566995
24,1/25/2018,1,1,17.43909397
25,1/26/2018,1,1,18.45875627
26,1/27/2018,1,1,21.55709502
27,1/28/2018,1,1,21.87726107
28,1/29/2018,1,1,12.98474198
29,1/30/2018,1,1,15.7022166
30,1/31/2018,1,1,16.28592708
31,2/1/2018,1,1,17.5093511
32,2/2/2018,1,1,19.21856463
33,2/3/2018,1,1,22.31690338
34,2/4/2018,1,1,22.63706942
35,2/5/2018,1,1,13.74455034
36,2/6/2018,1,1,16.46202496
37,2/7/2018,1,1,17.04573544
38,2/8/2018,1,1,18.26915946
39,2/9/2018,1,1,19.28882176
40,2/10/2018,1,1,22.38716051
41,2/11/2018,1,1,22.70732656
42,2/12/2018,1,1,13.81480747
43,2/13/2018,1,1,16.53228209
44,2/14/2018,1,1,17.11599257
45,2/15/2018,1,1,18.33941659
46,2/16/2018,1,1,19.3590789
47,2/17/2018,1,1,22.45741764
48,2/18/2018,1,1,22.77758369
49,2/19/2018,1,1,13.8850646
50,2/20/2018,1,1,15.10990235
51,2/21/2018,1,1,17.1862497
52,2/22/2018,1,1,18.40967372
53,2/23/2018,1,1,19.42933603
54,2/24/2018,1,1,22.52767477
55,2/25/2018,1,1,22.84784082
56,2/26/2018,1,1,13.95532173
57,2/27/2018,1,1,16.67279635
58,2/28/2018,1,1,17.25650684
59,3/1/2018,1,1,18.47993085
60,3/2/2018,1,1,22.06701697
61,3/3/2018,1,1,25.16535572
62,3/4/2018,1,1,25.48552176
63,3/5/2018,1,1,16.59300268
64,3/6/2018,1,1,19.3104773
65,3/7/2018,1,1,19.89418778
66,3/8/2018,1,1,21.11761179
67,3/9/2018,1,1,22.1372741
68,3/10/2018,1,1,25.23561285
69,3/11/2018,1,1,25.55577889
70,3/12/2018,1,1,16.66325981
71,3/13/2018,1,1,19.38073443
72,3/14/2018,1,1,19.96444491
73,3/15/2018,1,1,21.18786892
74,3/16/2018,1,1,22.20753123
75,3/17/2018,1,1,25.30586998
76,3/18/2018,1,1,25.62603602
77,3/19/2018,1,1,16.73351694
78,3/20/2018,1,1,19.45099156
79,3/21/2018,1,1,20.03470204
80,3/22/2018,1,1,21.25812606
81,3/23/2018,1,1,22.27778836
82,3/24/2018,1,1,25.37612711
83,3/25/2018,1,1,25.69629315
84,3/26/2018,1,1,16.80377407
85,3/27/2018,1,1,19.52124869
86,3/28/2018,1,1,20.10495917
87,3/29/2018,1,1,21.32838319
88,3/30/2018,1,1,22.34804549
89,1/1/2018,1,2,35.11902221
90,1/2/2018,1,2,39.79343363
91,1/3/2018,1,2,44.99309568
92,1/4/2018,1,2,45.41910722
93,1/5/2018,1,2,50.04516225
94,1/6/2018,1,2,54.98202967
95,1/7/2018,1,2,57.43770195
96,1/8/2018,1,2,36.52008975
97,1/9/2018,1,2,41.46007535
98,1/10/2018,1,2,44.87084692
99,1/11/2018,1,2,45.29685846
100,1/12/2018,1,2,49.9229135
101,1/13/2018,1,2,54.85978091
102,1/14/2018,1,2,57.31545319
103,1/15/2018,1,2,36.397841
104,1/16/2018,1,2,40.05061499
105,1/17/2018,1,2,44.74859817
106,1/18/2018,1,2,45.17460971
107,1/19/2018,1,2,49.80066474
108,1/20/2018,1,2,54.73753216
109,1/21/2018,1,2,57.19320444
110,1/22/2018,1,2,36.27559224
111,1/23/2018,1,2,41.21557784
112,1/24/2018,1,2,44.62634942
113,1/25/2018,1,2,45.05236096
114,1/26/2018,1,2,49.67841599
115,1/27/2018,1,2,54.61528341
116,1/28/2018,1,2,57.07095569
117,1/29/2018,1,2,36.15334349
118,1/30/2018,1,2,41.09332909
119,1/31/2018,1,2,44.50410066
120,2/1/2018,1,2,44.9301122
121,2/2/2018,1,2,54.21852387
122,2/3/2018,1,2,59.15539129
123,2/4/2018,1,2,61.61106357
124,2/5/2018,1,2,40.69345137
125,2/6/2018,1,2,45.63343697
126,2/7/2018,1,2,49.04420854
127,2/8/2018,1,2,49.47022008
128,2/9/2018,1,2,54.09627511
129,2/10/2018,1,2,59.03314253
130,2/11/2018,1,2,61.48881481
131,2/12/2018,1,2,40.57120262
132,2/13/2018,1,2,45.51118822
133,2/14/2018,1,2,48.92195979
134,2/15/2018,1,2,49.34797133
135,2/16/2018,1,2,53.97402636
136,2/17/2018,1,2,58.91089378
137,2/18/2018,1,2,61.36656606
